file,subject,run,lift_status,comment
subject7_run1_sensemat.csv,7,1,no_known_lift,No lift reported in metadata
subject7_run2_sensemat.csv,7,2,no_known_lift,No lift reported in metadata
subject7_run3_sensemat.csv,7,3,no_known_lift,No lift reported in metadata
subject7_run4_sensemat.csv,7,4,no_known_lift,No lift reported in metadata
subject7_run5_sensemat.csv,7,5,possible_lift,Possible lift run 5
subject7_run6_sensemat.csv,7,6,possible_lift,Possible lift run 6
subject7_run7_sensemat.csv,7,7,no_known_lift,No lift reported in metadata
subject7_run8_sensemat.csv,7,8,no_known_lift,No lift reported in metadata
subject8_run1_sensemat.csv,8,1,no_known_lift,Not known lifts
subject8_run2_sensemat.csv,8,2,no_known_lift,Not known lifts
subject8_run3_sensemat.csv,8,3,no_known_lift,Not known lifts
subject8_run4_sensemat.csv,8,4,no_known_lift,Not known lifts
subject8_run5_sensemat.csv,8,5,no_known_lift,Not known lifts
subject9_run1_sensemat.csv,9,1,known_lift,Head lift run 1
subject9_run2_sensemat.csv,9,2,no_known_lift,No note available
subject9_run3_sensemat.csv,9,3,no_known_lift,No note available
subject9_run4_sensemat.csv,9,4,no_known_lift,No note available
subject9_run5_sensemat.csv,9,5,known_lift,Head lift run 5
subject10_run1_sensemat.csv,10,1,known_lift,Head lift run 1
subject10_run3_sensemat.csv,10,3,no_known_lift,No note available
subject10_run4_sensemat.csv,10,4,no_known_lift,No note available
subject10_run5_sensemat.csv,10,5,no_known_lift,No note available
subject10_run6_sensemat.csv,10,6,no_known_lift,No note available
subject10_run7_sensemat.csv,10,7,possible_lift,Possible lift at run 7
subject11_run01_sensemat.csv,11,1,known_lift,Head lift run 1
subject11_run02_sensemat.csv,11,2,no_known_lift,No note available
subject11_run03_sensemat.csv,11,3,no_known_lift,No note available
subject11_run05_sensemat.csv,11,5,no_known_lift,No note available
subject11_run06_sensemat.csv,11,6,no_known_lift,No note available
subject12_run01_sensemat.csv,12,1,no_known_lift,No note available
subject12_run02_sensemat.csv,12,2,no_known_lift,No note available
subject12_run03_sensemat.csv,12,3,known_lift,Head lift run 3
subject12_run04_sensemat.csv,12,4,no_known_lift,No note available
subject12_run05_sensemat.csv,12,5,no_known_lift,No note available
subject12_run06_sensemat.csv,12,6,possible_lift,Possible lift run 6
subject13_run1_sensemat.csv,13,1,no_known_lift,No note available
subject13_run2_sensemat.csv,13,2,no_known_lift,No note available
subject13_run3_sensemat.csv,13,3,no_known_lift,No note available
subject13_run4_sensemat.csv,13,4,no_known_lift,No note available
subject13_run5_sensemat.csv,13,5,known_lift,Head lift run 5
subject13_run6_sensemat.csv,13,6,possible_lift,Possible lift run 6
subject14_run1_sensemat.csv,14,1,no_known_lift,No note available
subject14_run2_sensemat.csv,14,2,no_known_lift,No note available
subject14_run3_sensemat.csv,14,3,no_known_lift,No note available
subject14_run4_sensemat.csv,14,4,no_known_lift,No note available
subject14_run5_sensemat.csv,14,5,no_known_lift,No note available
subject14_run6_sensemat.csv,14,6,known_lift,Head lift run 6
subject15_run3_sensemat.csv,15,3,known_lift,Head lift run 3
subject15_run4_sensemat.csv,15,4,known_lift,Head lift run 4
subject15_run5_sensemat.csv,15,5,no_known_lift,No note available
subject15_run6_sensemat.csv,15,6,known_lift,Head lift run 6
subject16_run1_sensemat.csv,16,1,no_known_lift,No note available
subject16_run2_sensemat.csv,16,2,no_known_lift,No note available
subject16_run3_sensemat.csv,16,3,no_known_lift,No note available
subject16_run4_sensemat.csv,16,4,no_known_lift,No note available
subject16_run5_sensemat.csv,16,5,known_lift,Head lift run 5
subject17_run1_sensemat.csv,17,1,no_known_lift,No note available
subject17_run2_sensemat.csv,17,2,no_known_lift,No note available
subject17_run3_sensemat.csv,17,3,no_known_lift,No note available
subject17_run4_sensemat.csv,17,4,known_lift,Head lift run 4
subject18_run1_sensemat.csv,18,1,no_known_lift,No note available
subject18_run2_sensemat.csv,18,2,known_lift,Head lift run 2
subject18_run3_sensemat.csv,18,3,no_known_lift,No note available
subject18_run4_sensemat.csv,18,4,no_known_lift,No note available
subject18_run5_sensemat.csv,18,5,known_lift,Head lift run 5
subject18_run6_sensemat.csv,18,6,no_known_lift,No note available
subject19_run1_sensemat.csv,19,1,no_known_lift,No note available
subject19_run2_sensemat.csv,19,2,no_known_lift,No note available
subject19_run3_sensemat.csv,19,3,no_known_lift,No note available
subject19_run4_sensemat.csv,19,4,no_known_lift,No note available
subject19_run5_sensemat.csv,19,5,known_lift,Head lift run 5
subject20_run1_sensemat.csv,20,1,special_case,Special case AD
subject20_run2_sensemat.csv,20,2,special_case,Special case AD
subject20_run3_sensemat.csv,20,3,special_case,Special case AD
subject20_run4_sensemat.csv,20,4,special_case,Special case AD
subject20_run5_sensemat.csv,20,5,special_case,Special case AD
subject21_run1_sensemat.csv,21,1,possible_lift,Possible head lift at end of run 1
subject21_run2_sensemat.csv,21,2,no_known_lift,No note available
subject21_run3_sensemat.csv,21,3,no_known_lift,No note available
subject21_run4_sensemat.csv,21,4,no_known_lift,No note available
subject21_run5_sensemat.csv,21,5,no_known_lift,No note available
subject21_run6_sensemat.csv,21,6,no_known_lift,No note available
subject22_run1_sensemat.csv,22,1,no_known_lift,No note available
subject22_run2_sensemat.csv,22,2,no_known_lift,No note available
subject22_run3_sensemat.csv,22,3,no_known_lift,No note available
subject22_run4_sensemat.csv,22,4,no_known_lift,No note available
subject22_run5_sensemat.csv,22,5,no_known_lift,No note available
subject22_run6_sensemat.csv,22,6,possible_lift,Possible lift run 6
subject22_run7_sensemat.csv,22,7,known_lift,Head lift run 7
subject23_run1_sensemat.csv,23,1,no_known_lift,Not known lifts
subject23_run2_sensemat.csv,23,2,no_known_lift,Not known lifts
subject23_run3_sensemat.csv,23,3,no_known_lift,Not known lifts
subject23_run4_sensemat.csv,23,4,no_known_lift,Not known lifts
subject23_run5_sensemat.csv,23,5,no_known_lift,Not known lifts
subject23_run6_sensemat.csv,23,6,no_known_lift,Not known lifts
subject23_run7_sensemat.csv,23,7,no_known_lift,Not known lifts
subject23_run8_sensemat.csv,23,8,no_known_lift,Not known lifts
subject24_run1_sensemat.csv,24,1,strange_reading,Strange reading of SenseMAT but not known lifting
subject24_run2_sensemat.csv,24,2,strange_reading,Strange reading of SenseMAT but not known lifting
subject24_run3_sensemat.csv,24,3,strange_reading,Strange reading of SenseMAT but not known lifting
subject24_run4_sensemat.csv,24,4,strange_reading,Strange reading of SenseMAT but not known lifting
subject24_run5_sensemat.csv,24,5,strange_reading,Strange reading of SenseMAT but not known lifting
subject25_run1_sensemat.csv,25,1,no_known_lift,Not known lift
subject25_run2_sensemat.csv,25,2,no_known_lift,Not known lift
subject25_run3_sensemat.csv,25,3,no_known_lift,Not known lift
subject25_run4_sensemat.csv,25,4,no_known_lift,Not known lift
subject25_run5_sensemat.csv,25,5,no_known_lift,Not known lift
subject25_run6_sensemat.csv,25,6,shoulders_visible,Not known lift; shoulders visible as pressure bottom row
subject26_run1_sensemat.csv,26,1,no_known_lift,No note available
subject26_run2_sensemat.csv,26,2,no_known_lift,No note available
subject26_run3_sensemat.csv,26,3,known_lift,Head lift run 3
subject26_run4_sensemat.csv,26,4,no_known_lift,No note available
subject26_run5_sensemat.csv,26,5,shoulders_visible,Shoulders visible bottom row
subject26_run6_sensemat.csv,26,6,known_lift,Head lift run 6
subject27_run1_sensemat.csv,27,1,no_known_lift,No note available
subject27_run2_sensemat.csv,27,2,known_lift,Head lift run 2
subject27_run3_sensemat.csv,27,3,no_known_lift,No note available
subject27_run4_sensemat.csv,27,4,no_known_lift,No note available
subject27_run5_sensemat.csv,27,5,no_known_lift,No note available
subject27_run6_sensemat.csv,27,6,no_known_lift,No note available
subject28_run1_sensemat.csv,28,1,no_known_lift,Not known lifts
subject28_run2_sensemat.csv,28,2,no_known_lift,Not known lifts
subject28_run3_sensemat.csv,28,3,no_known_lift,Not known lifts
subject28_run4_sensemat.csv,28,4,no_known_lift,Not known lifts
subject28_run5_sensemat.csv,28,5,no_known_lift,Not known lifts